sein,biti,bee-tee,lesson2_audio/0001_biti_72915852a5.wav
haben,imati,ee-ma-tee,lesson2_audio/0002_imati_c048091a3e.wav
sagen,reći,reh-chee,lesson2_audio/0006_re_i_9990bbd026.wav
essen,jesti,yeh-stee,lesson2_audio/0013_jesti_340a9c69d5.wav
Hilfe!,Upomoć!,oo-po-mohtch,lesson2_audio/0018_upomo_e779e7995c.wav
Vorsicht!,Pazite!,pa-zee-teh,lesson2_audio/0019_pazite_9483019933.wav
Kein Problem,nema problema,neh-ma pro-bleh-ma,lesson2_audio/0022_nema_problema_2c386ca873.wav
Willkommen,dobrodošli,doh-broh-doh-shlee,lesson2_audio/0023_dobrodo_li_357e4fa51a.wav
Zimmer,soba,soh-ba,lesson2_audio/0025_soba_cc9120ec08.wav
Tür,vrata,vra-ta,lesson2_audio/0026_vrata_eb12c7574e.wav
Fenster,prozor,pro-zor,lesson2_audio/0027_prozor_d328c9d80c.wav
Bett,krevet,keh-reh-vet,lesson2_audio/0028_krevet_b72e4f3f46.wav
Tisch,stol,stol,lesson2_audio/0029_stol_38bb58b06e.wav
Stuhl,stolica,sto-lee-tsa,lesson2_audio/0030_stolica_2298ad22fd.wav
Schlüssel,ključ,klyooch,lesson2_audio/0031_klju_6ab0397e2d.wav
Meer,more,moh-reh,lesson2_audio/0034_more_e7c95b4c28.wav
Strand,plaža,pla-zha,lesson2_audio/0035_pla_a_93cfe1e97f.wav
Hafen,luka,loo-ka,lesson2_audio/0036_luka_e69a756ac7.wav
Geschäft / Laden,trgovina,tr-go-vee-na,lesson2_audio/0037_trgovina_a55326bb67.wav
teuer,skup,scoop,lesson2_audio/0045_skup_3c2db6e7cc.wav
billig,jeftin,yef-teen,lesson2_audio/0046_jeftin_6ce9162842.wav
heiß,vruć,vrooch,lesson2_audio/0047_vru_94957bc52f.wav
kalt,hladno,hlaad-noh,lesson2_audio/0048_hladno_d7a53b8db2.wav
wie viel?,koliko?,koh-lee-koh,lesson2_audio/0049_koliko_6c99fd8b49.wav
welcher / welche / welches,koji / koja / koje,koh-yee / koh-ya / koh-yeh,lesson2_audio/0050_koji_koja_koje_6ddc51a66b.wav
immer,uvijek,oo-vyehk,lesson2_audio/0055_uvijek_74d2cd68c9.wav
oft,često,cheh-stoh,lesson2_audio/0056_esto_750fda9eba.wav
sehr,jako,ya-koh,lesson2_audio/0057_jako_9baee30acb.wav
Dorf,selo,,lesson2_audio/0058_selo_a032abda6e.wav
Fluss,rijeka,,lesson2_audio/0059_rijeka_e599c613ce.wav
See,jezero,,lesson2_audio/0060_jezero_490235782a.wav
Berg,planina,,lesson2_audio/0061_planina_a6adcf8577.wav
Wald,šuma,,lesson2_audio/0062_uma_22d5bd3576.wav
Auto,auto,,lesson2_audio/0063_auto_0d612c12d2.wav
Zug,vlak,,lesson2_audio/0064_vlak_c6103bbff5.wav
Schiff,brod,,lesson2_audio/0065_brod_bdc9778864.wav
Flugzeug,zrakoplov,,lesson2_audio/0066_zrakoplov_0a73bda608.wav
Fahrrad,bicikl,,lesson2_audio/0067_bicikl_303131225b.wav
Markt,tržnica,,lesson2_audio/0068_tr_nica_849a91f25a.wav
Schule,škola,,lesson2_audio/0069_kola_86bf0a18f3.wav
Lehrer,učitelj,,lesson2_audio/0070_u_itelj_488ff31ea3.wav
Schüler,učenik,,lesson2_audio/0071_u_enik_209a248ba0.wav
Buch,knjiga,,lesson2_audio/0072_knjiga_87927ba4f0.wav
Bleistift,olovka,,lesson2_audio/0073_olovka_2ffefc93c3.wav
Fenster,prozor,,lesson2_audio/0074_prozor_d328c9d80c.wav
Bett,krevet,,lesson2_audio/0075_krevet_b72e4f3f46.wav
Küche,kuhinja,,lesson2_audio/0076_kuhinja_290e524852.wav
Badezimmer,kupaonica,,lesson2_audio/0077_kupaonica_850b62aa90.wav
Handtuch,ručnik,,lesson2_audio/0078_ru_nik_f1b14af410.wav
Seife,sapun,,lesson2_audio/0079_sapun_d1e66bb856.wav
Käse,sir,,lesson2_audio/0080_sir_e5f37c1b03.wav
Birne,kruška,,lesson2_audio/0081_kru_ka_8b225415cd.wav
Orange,naranča,,lesson2_audio/0082_naran_a_542bfc968f.wav
Kartoffel,krumpir,,lesson2_audio/0083_krumpir_770f5618d0.wav
Tomate,rajčica,,lesson2_audio/0084_raj_ica_423fdf8fd1.wav
Zwiebel,luk,,lesson2_audio/0085_luk_041c5db490.wav
Saft,sok,,lesson2_audio/0086_sok_fb9fdc2ad3.wav
Frühstück,doručak,,lesson2_audio/0087_doru_ak_5385cc0b50.wav
Mittagessen,ručak,,lesson2_audio/0088_ru_ak_7e6dc5b335.wav
Abendessen,večera,,lesson2_audio/0089_ve_era_e276d480e3.wav
Sonne,sunce,,lesson2_audio/0091_sunce_85be5ee043.wav
Mond,mjesec,,lesson2_audio/0092_mjesec_1c121b8c22.wav
Stern,zvijezda,,lesson2_audio/0093_zvijezda_99ce1db7d3.wav
Regen,kiša,,lesson2_audio/0094_ki_a_9fa0cc359a.wav
Schnee,snijeg,,lesson2_audio/0095_snijeg_72f7ea836f.wav
Wind,vjetar,,lesson2_audio/0096_vjetar_59315ca4e8.wav
warm,toplo,,lesson2_audio/0097_toplo_5d4c0b18a0.wav
kalt,hladno,,lesson2_audio/0098_hladno_d7a53b8db2.wav
schnell,brz,,lesson2_audio/0099_brz_850d273a23.wav
langsam,spor,,lesson2_audio/0100_spor_da494ca3a6.wav
hässlich,ružan,,lesson2_audio/0101_ru_an_081c31bf1f.wav
offen,otvoren,,lesson2_audio/0102_otvoren_1120424e41.wav
geschlossen,zatvoren,,lesson2_audio/0103_zatvoren_2416dd2bf5.wav
Anfang,početak,,lesson2_audio/0104_po_etak_76b1fa0aef.wav
Ende,kraj,,lesson2_audio/0105_kraj_f43cf8627f.wav
Arbeit (Tätigkeit),rad,,lesson2_audio/0106_rad_bade5d26b7.wav
Spiel,igra,,lesson2_audio/0107_igra_07163d412d.wav
Musik,glazba,,lesson2_audio/0108_glazba_5abef3dd1d.wav
Film,film,,lesson2_audio/0109_film_ad363a9384.wav
Bild,slika,,lesson2_audio/0110_slika_997882691d.wav
Farbe,boja,,lesson2_audio/0111_boja_3b7b5fd366.wav
